mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
45,0.45,0.36,0.115963,0.11419599999999999,-0.01639,-0.027595,-0.18302,-0.21165499999999998,-0.090052,-0.10343250000000001,-0.027448,-0.036145,-0.065351,-0.0999255,-0.025161885,-0.033320569,-0.075244,-0.080387,-0.11882,-0.1083225,-0.141901,-0.09748899999999999,0.020581,-0.10314999999999999,-0.08337,-0.0919905,-0.07231,-0.08343999999999999,-0.121272,-0.1557715,45.4553,50.453199999999995,43.0917,48.260000000000005,43.1067,48.27485,133.24,128.515,62.54684448,67.28551483
46,0.31,0.39,0.112058,0.1128605,-0.0341,-0.02203,-0.21387,-0.19182,-0.104585,-0.096651,-0.040363,-0.032633,-0.105388,-0.0586035,-0.039325643,-0.033668768,-0.135824,-0.049259,-0.190665,-0.06947400000000001,-0.221701,-0.042744000000000004,-0.079574,-0.005997,-0.096301,-0.08830299999999999,-0.09003,-0.077695,-0.161325,-0.1142745,52.7528,48.9987,50.4604,46.727,50.4755,46.7419,126.04,129.45499999999998,70.10593414,66.14154053
47,0.18,0.31,0.1136883931215997,0.11639489434608799,-0.0375194152425364,-0.020884132657350403,-0.2191437628658551,-0.1883209006497817,-0.1076973822522456,-0.0952049521667818,-0.0425440105484712,-0.0323210932471721,-0.1121524683065814,-0.051835612836623496,-0.041495182,-0.031611003,-0.1400921700004666,-0.040419684383154006,-0.1883570115519245,-0.0864199520387027,-0.1933320958676505,-0.09032285659945341,-0.1057651503390172,0.01502269729723215,-0.0985129006272718,-0.0880466340643331,-0.0934916846141911,-0.07661152802474161,-0.168120980108493,-0.10756041698960239,53.89141764183823,48.5584542539862,51.68338408622907,46.393522904730034,51.69809359137659,46.40797106301929,124.46,129.63,71.6634903,66.17301178
48,0.09,0.12,0.113333,0.1125975,-0.02588,-0.02092,-0.20336,-0.19893,-0.100454,-0.1001755,-0.036239,-0.0357685,-0.091037,-0.08312800000000001,-0.034117602,-0.033670574,-0.117424,-0.0516595,-0.153271,-0.0896415,-0.14473,-0.096916,-0.048212,-0.040935,-0.092191,-0.0916455,-0.08183,-0.076795,-0.146989,-0.139005,50.1266,49.72765,47.7859,47.51885,47.8007,47.5334,127.65,129.095,67.43130493,65.8744278
49,0.03,0.2,0.113489,0.1160535,-0.03906,-0.0213,-0.22312,-0.18643500000000002,-0.111004,-0.0952615,-0.044837,-0.0338175,-0.116161,-0.0607395,-0.047429524,-0.0328122,-0.133412,-0.046589,-0.201667,-0.072662,-0.190806,-0.08541499999999999,-0.138148,0.0344145,-0.100788,-0.0894565,-0.09501,-0.07694000000000001,-0.172112,-0.116378,54.2823,48.36645,52.0603,46.1446,52.0751,46.15925,126.15,129.45,72.60351563,65.15987396
50,0.35,0.38,0.1171138292186222,0.1193301943331817,-0.031845359478513,-0.0196574098395315,-0.2096183184243817,-0.1901457872732085,-0.1019489284658134,-0.0951500383264872,-0.0368273988001109,-0.02994338788422175,-0.1013692619494646,-0.0562878017507976,-0.037102479,-0.029100856,-0.1528683893393643,-0.01689379286265315,-0.1821731187772633,-0.06694317245668466,-0.184052112158614,-0.07281202450939114,-0.0645406403244552,-0.009144618451724,-0.0927889010104966,-0.08566164154880855,-0.0878128612235543,-0.07537241332961414,-0.1573300142180184,-0.11200643038630034,51.840774091764835,48.56351825510258,49.630527453877775,46.413718871683855,49.64502745387779,46.427956368775455,125.81,129.46,70.12065887,65.56702423
51,-0.21,-0.07,0.105579,0.104884,-0.03572,-0.026415,-0.22192,-0.197635,-0.111651,-0.10176650000000001,-0.048003,-0.041315500000000005,-0.112071,-0.0792225,-0.042982683,-0.039227828,-0.118806,-0.055712,-0.127926,-0.136153,-0.140454,-0.14252700000000001,-0.126787,0.006461,-0.103969,-0.097194,-0.09168,-0.08229,-0.168036,-0.135101,53.6881,50.1744,51.3147,47.8029,51.33,47.818,126.32,128.3,69.62078094,66.90313721
52,-0.16,-0.08,0.1063527272146566,0.10499188521695424,-0.0336690382095309,-0.02700034153062775,-0.2178470708722313,-0.20041204915854166,-0.1095335229407162,-0.10381850639620499,-0.0460701920300974,-0.04172794633398335,-0.1063671711335279,-0.08270274222412945,-0.043395396,-0.039076082,-0.1109066724602281,-0.0647811961152297,-0.1400933336921622,-0.11466064873264965,-0.1467988331381383,-0.11173107655012579,-0.0976419968451764,-0.014409537326000199,-0.1020233348178622,-0.09759103679192305,-0.0896282136558214,-0.08286854730436895,-0.1623201190372048,-0.13856602131255702,52.9725907258808,49.97973796681724,50.540292114064286,47.65894809976098,50.55559211406429,47.67404809976098,125.78,128.305,69.74157715,67.24829865
53,-0.72,-0.23,0.0966559783546218,0.09855321198311486,-0.0627486530843583,-0.0224218695487348,-0.2652261583818209,-0.1815979087012859,-0.1384371488066404,-0.09518339809590676,-0.070082278298963,-0.0448986875896863,-0.164857538351855,-0.042717027246915895,-0.061518211,-0.041727662,-0.173819040333895,-0.027981687680693652,-0.1944838126975206,-0.09221474193047835,-0.2221130688396262,-0.06762262231221461,-0.3519180084399404,0.17145585473532277,-0.1260782547146785,-0.1006124147277801,-0.118740752819246,-0.0781297691719767,-0.2208543047940818,-0.09843026498030444,64.96559676408154,48.557062736018196,62.46628478050936,46.14514467393101,62.48168478050936,46.160205172605444,116.84,129.42,77.89163971,65.77728271
54,-0.25,0.1,0.1039178320292789,0.10663993121390235,-0.0524619166086489,-0.02323741550555885,-0.2434342834919819,-0.1867997735772693,-0.1236278368126267,-0.09673664353491575,-0.0578520566715392,-0.039884561811635105,-0.1398489460498969,-0.04460220085849495,-0.053221077,-0.037671573,-0.1728873943597792,-0.028652033201458302,-0.2500049626160104,-0.0419196259055599,-0.2430986952181182,-0.0649745209929123,-0.2111800813747815,0.07901752954299625,-0.1138396971521381,-0.09558520786895475,-0.1084490876754388,-0.07893629748623049,-0.1958365963901142,-0.1003028085160231,59.40951181315041,48.79246058901069,57.03521043623677,46.49944638727413,57.05050945027493,46.514545894293214,121.02,129.675,75.26522064,66.1102066
