mol,sigma-p,sigma-m,p-Mulliken,m-Mulliken,p-xTB-Mulliken,m-xTB-Mulliken,p-NPA,m-NPA,p-MBS-Mulliken,m-MBS-Mulliken,p-Hirshfeld,m-Hirshfeld,p-Iterative Hirshfeld,m-Iterative Hirshfeld,p-ML-QMDESC Hirshfeld,m-ML-QMDESC Hirshfeld,p-CHELPG,m-CHELPG,p-MKUFF,m-MKUFF,p-HLYGAt,m-HLYGAt,p-APT,m-APT,p-CM5,m-CM5,p-xTB-CM5,m-xTB-CM5,p-Iterative CM5,m-Iterative CM5,p-NMR (GIAO),m-NMR (GIAO),p-NMR (CSGT),m-NMR (CSGT),p-NMR (IGAIM),m-NMR (IGAIM),p-NMR (ML-CASCADE),m-NMR (ML-CASCADE),p-NMR (ML-QMDESC),m-NMR (ML-QMDESC)
75,0.53,0.23,0.110426,0.108873,-0.02359,-0.02867,-0.19164,-0.21067,-0.095804,-0.105105,-0.033813,-0.039731,-0.076813,-0.101861,-0.032448214,-0.03859292,-0.033128,-0.1300245,-0.07665,-0.170438,-0.07835,-0.1853265,-0.036885,-0.0814465,-0.089725,-0.095487,-0.0795,-0.08443,-0.132726,-0.157617,46.7872,50.3465,44.5335,48.1419,44.5487,48.15705,130.87,127.73,63.94363403,67.36392212
76,-0.09,-0.08,0.107482,0.1063805,-0.03302,-0.026005,-0.21507,-0.19875500000000001,-0.107614,-0.10262,-0.044098,-0.040121500000000004,-0.103779,-0.0809565,-0.041323032,-0.037619464,-0.126683,-0.030937,-0.192507,-0.079049,-0.188841,-0.089921,-0.089299,-0.014061500000000001,-0.100046,-0.095972,-0.08898,-0.08186,-0.159727,-0.136807,52.6083,49.873900000000006,50.2424,47.5763,50.2576,47.591350000000006,126.45,128.77,69.27565002,66.95087433
77,-0.02,0.07,0.1078590710530608,0.10681136610051635,-0.0311361990056935,-0.02685074966103185,-0.2117071985537361,-0.20099284961583613,-0.1062177290373306,-0.10260645461357634,-0.0428206089107825,-0.04028031431528439,-0.1002612384452663,-0.0857693748305159,-0.039661083,-0.037361845,-0.1059238206905586,-0.06630840517130265,-0.1317731830914431,-0.1332097715339004,-0.1296994914959792,-0.13345424679471224,-0.1137806512049078,-0.01789033208443315,-0.0987786089107825,-0.09616810431980394,-0.0870882989604978,-0.08274074966103184,-0.1562200284497859,-0.1416567698327757,51.92663164204969,49.659200300912744,49.60507171436289,47.38882446180959,49.62037171436289,47.403924461809595,127.02,128.71,68.39878082,66.4978714
78,0.01,0.07,0.107777,0.1067195,-0.03107,-0.026845,-0.21166,-0.20105,-0.106196,-0.1026315,-0.04282,-0.0403055,-0.100301,-0.08583750000000001,-0.039591063,-0.037315842,-0.085264,-0.0845845,-0.135469,-0.12795099999999998,-0.127496,-0.1348955,-0.119514,-0.016125,-0.098775,-0.0961915,-0.08702,-0.082735,-0.156255,-0.1417235,51.8863,49.66145,49.574,47.381550000000004,49.5893,47.39675,127.18,128.825,68.39878082,66.4978714
79,-0.56,-0.02,0.104955,0.10680100000000001,-0.05005,-0.021955000000000002,-0.24364,-0.18552000000000002,-0.124359,-0.0954335,-0.057349,-0.0394155,-0.139251,-0.0538245,-0.053210545,-0.037400745,-0.177305,-0.025444,-0.228342,-0.0687565,-0.228849,-0.071284,-0.264827,0.109496,-0.113314,-0.0950535,-0.10602,-0.077585,-0.195215,-0.10946249999999999,59.3631,48.617549999999994,56.9534,46.332049999999995,56.9686,46.347,120.19,129.82,74.53804779,65.9401474
80,-0.08,0.05,0.106986,0.105962,-0.0324,-0.026994999999999998,-0.2144,-0.200585,-0.107741,-0.10264999999999999,-0.044348,-0.040856,-0.103239,-0.084508,-0.040183436,-0.037704997,-0.097821,-0.0736305,-0.135787,-0.130204,-0.137642,-0.12926300000000002,-0.129907,-0.0050155,-0.100308,-0.09674050000000001,-0.08836,-0.08288000000000001,-0.1592,-0.1403935,52.5569,49.68965,50.2227,47.39985,50.2379,47.41485,127.05,128.87,68.39878082,66.4978714
81,0.43,0.34,0.115691,0.1146925,-0.01773,-0.02598,-0.18553,-0.20967,-0.091883,-0.10323199999999999,-0.02877,-0.0360495,-0.069895,-0.0989095,-0.026455943,-0.033882372,-0.091137,-0.0834235,-0.126464,-0.11867249999999999,-0.131639,-0.123561,0.010568,-0.1011835,-0.084708,-0.09195400000000001,-0.07366,-0.081885,-0.125833,-0.15481450000000002,46.1334,50.77615,43.7825,48.54075,43.7977,48.5557,132.98,128.32,64.11455536,67.6299057
82,-0.03,0.25,0.108977,0.11186650000000001,-0.04441,-0.023594999999999998,-0.2295,-0.18969999999999998,-0.114796,-0.097777,-0.049766,-0.036516999999999994,-0.1238,-0.0512535,-0.046059735,-0.034323126,-0.144034,-0.0606725,-0.205358,-0.0788025,-0.210153,-0.0883455,-0.15707,0.0446145,-0.105737,-0.092211,-0.10038,-0.07929,-0.179771,-0.1069475,56.2641,48.4796,53.918,46.225899999999996,53.9332,46.240899999999996,123.26,129.86,72.90786743,66.25893402
83,0.26,0.25,0.11615,0.1151,-0.02204,-0.02213,-0.19837,-0.19841,-0.098021,-0.099208,-0.033481,-0.034734,-0.086259,-0.085936,-0.034385987,-0.033896416,-0.046897,-0.096201,-0.106054,-0.1319205,-0.106025,-0.1399645,-0.072046,-0.066644,-0.089448,-0.090682,-0.07801,-0.07808,-0.142225,-0.141884,49.1136,48.937650000000005,46.9186,46.754599999999996,46.9336,46.76945,128.43,129.19,68.39878082,66.4978714
84,0.2,0.21,0.114805,0.114238,-0.02352,-0.02206,-0.2017,-0.19774,-0.099816,-0.099327,-0.035303,-0.0351785,-0.089954,-0.08413899999999999,-0.035169959,-0.034478389,-0.104224,-0.0579175,-0.138539,-0.118581,-0.131432,-0.121433,-0.07734,-0.041476,-0.091275,-0.091111,-0.07949,-0.07799500000000001,-0.145927,-0.1400715,49.8269,48.87835,47.6065,46.7216,47.6214,46.7364,127.88,129.1,68.39878082,66.63887787
85,0.68,0.62,0.120066,0.11951049999999999,-0.01955,-0.022394999999999998,-0.18318,-0.20194,-0.087827,-0.097649,-0.024067,-0.0297375,-0.064783,-0.0854405,-0.023871552,-0.026139366,-0.080471,-0.0439875,-0.15867,-0.0620605,-0.153406,-0.07260649999999999,0.019317,-0.0702335,-0.079995,-0.085557,-0.07547,-0.078215,-0.120712,-0.1412605,46.2591,49.72555,43.978,47.566,43.9929,47.58075,133.5,129.33,63.92311096,66.722435
86,-0.12,-0.07,0.1067146988293689,0.1055501543710937,-0.0330382171855587,-0.02659147671233195,-0.2163162341220445,-0.20088577982568462,-0.1088654058779673,-0.10378212249067606,-0.0451190747198077,-0.0411721116812008,-0.104653753175591,-0.08298151910337889,-0.041852854,-0.038321711,-0.0684845938724245,-0.0938109748700186,-0.0732257008708634,-0.17420598712389104,-0.1133861870986627,-0.13615377651279414,-0.0870183779325279,-0.01881804249071175,-0.1010758236612774,-0.09704908318805061,-0.0889982171855587,-0.0824687235367409,-0.1606105021170607,-0.13885849061022876,52.728758610213305,50.17854858780803,50.26240177335074,47.86544853052304,50.27760177335074,47.880441041108334,125.66,128.28,69.30400848,67.06598663
87,0.41,0.23,0.1161460834200193,0.11498775879756375,-0.0199171496759869,-0.025046608090441153,-0.1910845273459172,-0.20383424153130808,-0.0937226917148684,-0.1002363446841225,-0.0301271765908282,-0.03447063160981135,-0.0764153065962519,-0.0919465314613642,-0.028334484,-0.031889059,-0.0681147154654544,-0.07581734004401189,-0.1104135331856678,-0.112555354746072,-0.1252689204464998,-0.10744434233749911,-0.024192459241182,-0.0741598578349312,-0.0860741183168266,-0.0903673256713032,-0.0758572953609907,-0.0809462438779315,-0.1323632191852496,-0.14784323280710626,46.97096356185065,49.83713628302421,44.7267036870039,47.673090470468765,44.74190077330382,47.68818464306861,131.83,128.35,64.3420639,66.76059723
88,-0.19,0.02,0.1080004827209676,0.1102684073153406,-0.0412391859162315,-0.02276046798090375,-0.2268796640536386,-0.18948982369335882,-0.1144098774446508,-0.0963992409958752,-0.0485905482954549,-0.0370343565717546,-0.1201870969555184,-0.0619511634548186,-0.048169211,-0.035475705,-0.1259186574906844,-0.03516168962814515,-0.211258877183227,-0.05582796880253185,-0.2141467494980338,-0.05222577323715015,-0.1772289622117359,0.03848679429109175,-0.1045275920465943,-0.092635377431674,-0.0971693317533628,-0.0783615617593888,-0.1761241407066579,-0.11755266243916825,55.43983683167746,49.05156076070274,53.276694041497095,46.88699374984172,53.29198966638317,46.902137916356466,124.01,129.06,72.01834106,66.50700378
89,-0.05,-0.03,0.107461,0.1067755,-0.03225,-0.025939999999999998,-0.21368,-0.19933499999999998,-0.107167,-0.10356599999999999,-0.043628,-0.0399435,-0.10284,-0.0816405,-0.041092474,-0.036987856,-0.12316,-0.050516000000000005,-0.184265,-0.099462,-0.178329,-0.1259265,-0.087449,-0.0163595,-0.099597,-0.0958615,-0.08822,-0.08185,-0.158809,-0.1375585,52.405,50.20025,50.0287,47.90905,50.0438,47.92385,126.17,128.485,69.35519409,66.93731689
